year,type,title,note,journal,doi,author,ENTRYTYPE,ID
1989,Book,basic notions of trace theory,200,LNCS,10.1007/bfb0013025,Mazurkiewicz A.,article,RRexportAntoniMazurkiewicz1989
2003,Book,resource interfaces,120,LNCS,10.1007/978-3-540-45212-6_9,Chakrabarti A.,article,RRexportArindamChakrabarti2003
2012,Book,modelling and decentralised runtime control of self-stabilising power micro grids,23,LNCS,10.1007/978-3-642-34026-0_31,Hartmanns A.,article,RRexportArndHartmanns2012
2009,Journal,model-based test cases synthesis using uml interaction diagrams,16,ACM SIGSOFT Software Engineering Notes,10.1145/1507195.1507209,Nayak A.,article,RRexportAshalathaNayak2009
2003,InProceedings,formal semantics of synchronous systemc,47,"Design, Automation, and Test in Europe",10.5555/789083.1022755,Salem A.,article,RRexportAshrafSalem2003
2008,InProceedings,proving non-termination,157,Unknown Venue,10.1145/1328438.1328459,Gupta A.,article,RRexportAshutoshGupta2008
2009,Book,compositional verification of input-output conformance via csp refinement checking,17,LNCS,10.1007/978-3-642-10373-5_2,Sampaio A.,article,RRexportAugustoSampaio2009
2010,Book,jtorx: a tool for on-line model-driven test derivation and execution,76,LNCS,10.1007/978-3-642-12002-2_21,Belinfante A.,article,RRexportAxelBelinfante2010
2000,Journal,the jalapeño virtual machine,583,IBM Systems Journal,10.1147/sj.391.0211,Alpern B.,article,RRexportB.Alpern2000
2004,Journal,the tool tina – construction of abstract state spaces for petri nets and time petri nets,386,International Journal of Production Research,10.1080/00207540412331312688,* B.B.,article,RRexportB.Berthomieu*2004
1991,Journal,modeling and verification of time dependent systems using time petri nets,1082,IEEE Transactions on Software Engineering,10.1109/32.75415,Berthomieu B.,article,RRexportB.Berthomieu1991
1985,Journal,"timing constraints of real-time systems: constructs for expressing them, methods of validating them",242,IEEE Transactions on Software Engineering,10.1109/tse.1985.231845,Dasarathy B.,article,RRexportB.Dasarathy1985
1989,Book,"timing constraints of real-time systems: constructs for expressing them, methods of validating them",17,IEEE Computer Society Press eBooks,None,Dasarathy B.,article,RRexportB.Dasarathy1989
1992,Journal,applying 'design by contract',2118,Computer,10.1109/2.161279,Meyer B.,article,RRexportB.Meyer1992
1984,Journal,synchronization and specification issues in protocol testing,147,IEEE Transactions on Communications,10.1109/tcom.1984.1096074,Sarikaya B.,article,RRexportB.Sarikaya1984
2011,Unknown,"towards secure web services : performance analysis, decision making and steganography approaches",1,Unknown Venue,None,Alrouh B.,article,RRexportBacharAlrouh2011
2004,Book,network protocol system passive testing for fault management: a backward checking approach,45,LNCS,10.1007/978-3-540-30232-2_10,Alcalde B.,article,RRexportBaptisteAlcalde2004
1994,Journal,a behavioral notion of subtyping,1150,ACM Transactions on Programming Languages and Systems,10.1145/197320.197383,Liskov B.H.,article,RRexportBarbaraH.Liskov1994
2005,Book,comparison of the expressiveness of timed automata and time petri nets,88,LNCS,10.1007/11603009_17,Bérard B.,article,RRexportBeatriceBérard2005
1995,Book,synchronization and specification issues in protocol testing,6,IEEE Computer Society Press eBooks,None,Sarikaya B.,article,RRexportBehçetSarikaya1995
2002,Book,types and programming languages,2333,Unknown Venue,None,Pierce B.C.,article,RRexportBenjaminC.Pierce2002
2006,Book,bridging the gap between timed automata and bounded time petri nets,60,LNCS,10.1007/11867340_7,Berthomieu B.,article,RRexportBernardBerthomieu2006
2007,Book,model checking bounded prioritized time petri nets,36,Automated Technology for Verification and Analysis,10.1007/978-3-540-75596-8_37,Berthomieu B.,article,RRexportBernardBerthomieu2007
2008,Book,"distributed embedded systems: design, middleware and resources",9,IFIP International Federation for Information Processing/IFIP,10.1007/978-0-387-09661-2,Kleinjohann B.,article,RRexportBerndKleinjohann2008
2005,Book,an improved rule for while loops in deductive program verification,17,LNCS,10.1007/11576280_22,Beckert B.,article,RRexportBernhardBeckert2005
2006,Book,verification of object-oriented software the key approach,417,LNCS,10.1007/978-3-540-69061-0,Beckert B.,article,RRexportBernhardBeckert2006
2003,Journal,mutation testing in the refinement calculus,38,Formal Aspects of Computing,10.1007/s00165-003-0011-8,Aichernig B.K.,article,RRexportBernhardK.Aichernig2003
2009,Book,qualitative action systems,12,LNCS,10.1007/978-3-642-10373-5_11,Aichernig B.K.,article,RRexportBernhardK.Aichernig2009
2010,Book,model-based mutation testing of hybrid systems,20,LNCS,10.1007/978-3-642-17071-3_12,Aichernig B.K.,article,RRexportBernhardK.Aichernig2010
2005,Book,symbolic test selection based on approximate analysis,68,LNCS,10.1007/978-3-540-31980-1_23,Jeannet B.,article,RRexportBertrandJeannet2005
2005,Book,symbolic test selection based on approximate analysis,68,LNCS,10.1007/978-3-540-31980-1_23,Jeannet B.,article,RRexportBertrandJeannet2005
1997,Book,"object-oriented software construction, 2nd edition",1137,Prentice Hall eBooks,None,Meyer B.,article,RRexportBertrandMeyer1997
2012,Book,behavioural equivalences over migrating processes with timers,7,LNCS,10.1007/978-3-642-30793-5_4,Aman B.,article,RRexportBogdanAman2012
